taxonID	identifier	title	format	datasetID	subject
urn:lsid:marinespecies.org:taxname:1	NCBI:txid131567	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:2	NCBI:txid33208	"To GenBank (1 nucleotides; 0 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:4	NCBI:txid4751	"To GenBank (211 nucleotides; 1 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:6	NCBI:txid2	"To GenBank (24 nucleotides; 36550 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:6	NCBI:txid629395	"To GenBank (0 nucleotides; 16 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:8	NCBI:txid2157	"To GenBank (5 nucleotides; 33 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:10	NCBI:txid10239	"To GenBank (30 nucleotides; 1 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:11	NCBI:txid5878	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:25	NCBI:txid28009	"To GenBank (0 nucleotides; 4 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:51	NCBI:txid6447	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:55	NCBI:txid6650	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:57	NCBI:txid6651	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:58	NCBI:txid120435	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:59	NCBI:txid291856	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:64	NCBI:txid39684	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:69	NCBI:txid27822	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:90	NCBI:txid291892	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:91	NCBI:txid6653	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:101	NCBI:txid6448	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:104	NCBI:txid32584	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:105	NCBI:txid6544	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:106	NCBI:txid45493	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:111	NCBI:txid54986	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:113	NCBI:txid6462	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:114	NCBI:txid57876	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:119	NCBI:txid31212	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:120	NCBI:txid55731	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:121	NCBI:txid55970	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:122	NCBI:txid1260509	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:123	NCBI:txid122955	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:124	NCBI:txid1273265	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:126	NCBI:txid761540	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:127	NCBI:txid27813	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:128	NCBI:txid69701	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:130	NCBI:txid69535	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:131	NCBI:txid1273271	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:132	NCBI:txid69584	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:134	NCBI:txid69595	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:135	NCBI:txid69595	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:139	NCBI:txid211734	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:141	NCBI:txid52627	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:142	NCBI:txid221409	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:143	NCBI:txid217735	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:144	NCBI:txid217746	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:145	NCBI:txid208830	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:146	NCBI:txid6479	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:148	NCBI:txid39476	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:149	NCBI:txid37796	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:151	NCBI:txid6483	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:152	NCBI:txid128512	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:154	NCBI:txid69554	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:155	NCBI:txid71511	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:156	NCBI:txid216313	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:158	NCBI:txid108000	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:159	NCBI:txid216315	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:161	NCBI:txid71503	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:162	NCBI:txid160015	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:164	NCBI:txid6512	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:165	NCBI:txid216330	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:167	NCBI:txid71490	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:169	NCBI:txid71495	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:171	NCBI:txid6497	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:172	NCBI:txid6498	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:174	NCBI:txid71286	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:175	NCBI:txid71283	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:177	NCBI:txid71317	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:181	NCBI:txid6515	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:182	NCBI:txid216351	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:184	NCBI:txid797205	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:186	NCBI:txid71300	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:187	NCBI:txid71468	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:189	NCBI:txid71481	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:190	NCBI:txid71483	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:191	NCBI:txid929463	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:192	NCBI:txid195871	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:193	NCBI:txid2692184	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:194	NCBI:txid2692185	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:198	NCBI:txid69683	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:200	NCBI:txid32585	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:202	NCBI:txid39426	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:203	NCBI:txid856330	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:204	NCBI:txid47127	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:205	NCBI:txid61335	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:206	NCBI:txid6545	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:208	NCBI:txid6553	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:209	NCBI:txid52935	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:210	NCBI:txid6546	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:211	NCBI:txid6547	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:213	NCBI:txid6566	"To GenBank (1 nucleotides; 1 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:214	NCBI:txid102289	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:215	NCBI:txid6563	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:217	NCBI:txid6580	"To Genbank"		ncbi	
